employee_id,name,email,age,gender,marital_status,department,job_level,education,monthly_income,years_at_company,years_since_last_promotion,distance_from_home_km,overtime,num_projects,avg_monthly_hours,satisfaction_score,city,hire_date,badge_id,survey_response_id,attrition
5015,Joshua Smith,joshua.smith@examplecorp.com,31,Male,Married,Engineering,1,High School,2377.0,1,0,,Yes,2.0,146,3,North Lisahaven,2025-06-25,BDG-0984-VdGB,461209,Yes
5917,Diana Mullins,diana.mullins@examplecorp.com,29,Female,Married,Research & Development,3,Master,6976.0,0,0,12.3,No,4.0,244,3,Lake Scottchester,2026-07-07,BDG-9126-BjyO,286401,No
736,Laura Jackson,laura.jackson@examplecorp.com,44,Female,,Research & Development,3,Master,8894.0,5,2,2.5,No,2.0,190,4,Elizabethville,2021-07-07,BDG-3318-PpQN,942118,No
1072,Sarah Pittman,sarah.pittman@examplecorp.com,34,Male,Married,HR,3,Master,,1,1,1.0,Yes,2.0,204,3,Jameston,2025-07-19,BDG-2170-NLTs,702085,No
2803,Christopher Porter,christopher.porter@examplecorp.com,42,Male,Divorced,Marketing,1,Master,3268.0,3,1,4.4,No,1.0,211,3,Lake Nicolasshire,July 09 2023,BDG-1981-EaPb,718479,No
8161,Duane Clark,duane.clark@examplecorp.com,36,Male,Divorced,  Sales  ,2,Master,5230.0,1,1,14.3,Yes,2.0,177,2,East Nicholas,07/17/2025,BDG-1414-oARX,537107,No
5921,Elizabeth Skinner MD,elizabeth.md@examplecorp.com,49,Female,Married,Sales,2,Master,4189.0,17,15,1.0,No,1.0,171,3,Brownshire,2009-07-03,BDG-3764-zJog,426382,No
5567,Michael Cross DDS,michael.dds@examplecorp.com,31,Female,Married,Engineering,3,Bachelor,6907.0,8,7,5.2,Yes,2.0,187,1,Joshuaburgh,23 Jul 2018,BDG-2866-veBg,886587,Yes
9670,Heather Ross,heather.ross@examplecorp.com,54,Female,Single,Human Resources,4,Bachelor,11709.0,15,14,28.6,No,3.0,196,5,Samanthaton,July 01 2011,BDG-5958-AGKN,993808,No
7471,Jessica Munoz,jessica.munoz@examplecorp.com,48,Male,Married,Sales,1,Bachelor,3207.0,26,6,8.5,Yes,3.0,173,4,Port Kenneth,29-07-2000,BDG-7532-tVks,737643,No
5268,Tracy Santiago,tracy.santiago@examplecorp.com,44,Female,Single,Research & Development,4,High School,11816.0,1,1,45.4,Yes,1.0,222,3,East Sydney,July 02 2025,BDG-7291-JUHs,936403,No
6655,Brian Bullock,brian.bullock@examplecorp.com,41,Male,Single,Marketing,2,PhD,4582.0,1,1,3.9,No,7.0,183,3,Mccallland,2025-07-08,BDG-6115-lFjF,114943,No
9812,Marie Rangel,marie.rangel@examplecorp.com,41,Female,Single,Engineering,2,Bachelor,5497.0,11,8,12.5,No,4.0,168,4,Ryanport,July 03 2015,BDG-8597-wqUn,717666,No
5401,Jose Collins,jose.collins@examplecorp.com,56,Female,Divorced,Sales,3,Bachelor,,15,14,5.9,No,3.0,174,4,Allenhaven,2011-07-01,BDG-6684-vqZQ,978410,No
8674,Walter Romero,walter.romero@examplecorp.com,38,Female,Married,SALES,1,Bachelor,3206.0,3,3,1.6,Yes,3.0,230,2,East Donald,July 24 2023,BDG-0091-Iiuz,755045,Yes
4794,Amanda Morris,amanda.morris@examplecorp.com,22,Female,Married,Sales,5,Bachelor,20345.0,0,0,38.5,No,1.0,175,2,North Micheal,2026-07-15,BDG-9000-LepX,474056,Yes
8696,Tracey Melendez MD,tracey.md@examplecorp.com,46,Male,Divorced,Sales,2,Master,4301.0,14,10,5.3,No,5.0,228,2,Dwaynechester,2012-07-22,BDG-4653-GDoA,833382,Yes
170,Daniel Murphy,daniel.murphy@examplecorp.com,36,Female,Single,Sales,5,Master,,0,0,12.3,No,,194,2,Mosleyville,2026-07-17,BDG-2006-ghPR,615769,No
4575,Debbie Schneider,debbie.schneider@examplecorp.com,42,Male,Single,Engineering,4,High School,12668.0,12,9,4.4,Yes,2.0,181,1,Ericborough,2014-07-15,BDG-5001-EOXK,826165,No
9497,Nicole Clark,nicole.clark@examplecorp.com,43,Female,Divorced,Engineering,1,Master,2k,11,10,1.0,No,3.0,136,3,Susanview,2015-07-18,BDG-7386-jeuk,120253,Yes
533,Donna Frye,donna.frye@examplecorp.com,49,Male,Single,Sales,2,PhD,4916.0,22,8,35.3,Yes,3.0,211,3,Blackfort,2004-07-24,BDG-4989-CzoK,614907,No
8292,Jennifer Austin,jennifer.austin@examplecorp.com,39,Male,Married,Sales,4,High School,9392.0,0,0,3.8,No,2.0,140,4,Lake Alyssa,July 14 2026,BDG-7816-tFgd,127975,No
719,Kathryn Mccann,kathryn.mccann@examplecorp.com,48,Female,Married,Engineering,3,,7824.0,8,5,6.1,Yes,6.0,178,4,North Kevin,07/22/2018,BDG-7204-hBGZ,604403,No
8655,Rebecca Thompson,rebecca.thompson@examplecorp.com,37,Male,Single,Human Resources,2,Master,4627.0,3,1,4.7,Yes,8.0,188,1,Jamesland,2023-07-18,BDG-6430-bwqi,974425,Yes
5808,Matthew Mccullough,matthew.mccullough@examplecorp.com,23,Female,Divorced,Research & Development,4,Master,8396.0,0,0,1.7,Yes,2.0,171,2,North Richard,2026-07-14,BDG-2359-emTx,908121,No
3470,Emily Morris,emily.morris@examplecorp.com,52,Female,Married,Marketing,5,PhD,16183.0,13,7,2.8,No,5.0,123,4,Davidmouth,2013-06-29,BDG-2483-RhNf,807457,No
9838,Shaun Johnson,shaun.johnson@examplecorp.com,45,Male,,Research & Development,2,Master,4711.0,13,1,25.9,No,3.0,158,4,New Andreaton,2013-07-08,BDG-8258-Ulyg,352315,No
484,Steve Paul,steve.paul@examplecorp.com,55,Female,Married,Research & Development,2,High School,5k,17,11,2.5,No,6.0,184,4,Heatherfurt,2009-07-19,BDG-8938-VnVR,137692,No
8087,Victor Ruiz,victor.ruiz@examplecorp.com,50,Female,Married,Sales,4,Master,12950.0,0,0,13.9,No,2.0,134,3,Jonathanport,2026-07-02,BDG-1802-Qnzy,414019,No
8684,Amber Allison,amber.allison@examplecorp.com,30,Female,Single,Sales,4,Master,11050.0,1,1,4.6,No,5.0,156,3,Chapmanberg,2025-07-11,BDG-6201-crXz,402453,No
2040,Michael Keller,michael.keller@examplecorp.com,44,Male,Single,Sales,3,Bachelor,7230.0,5,0,2.5,No,3.0,205,2,West Lance,2021-07-16,BDG-6082-VQIi,139987,No
4831,Mitchell Richardson,mitchell.richardson@examplecorp.com,30,Male,Single,Sales,2,Master,6033.0,0,0,4.8,No,3.0,145,4,Macdonaldburgh,June 28 2026,BDG-1065-eVSE,970965,No
4962,Charles Powell,charles.powell@examplecorp.com,41,Male,Married,Engineering,1,Bachelor,3316.0,5,3,23.0,Yes,1.0,183,4,Francisport,20-07-2021,BDG-5975-inxW,111685,No
9207,Brian White,brian.white@examplecorp.com,31,Male,Single,Sales,3,Bachelor,6280.0,5,1,6.6,No,2.0,169,3,New Brucetown,02-07-2021,BDG-1916-QgRX,100183,No
32,James Ferrell,james.ferrell@examplecorp.com,38,Male,Divorced,Research & Development,5,Bachelor,17472.0,15,9,11.5,Yes,4.0,186,2,Deborahberg,2011-07-17,BDG-3025-NuGH,503355,No
36,Jeffrey Chavez,jeffrey.chavez@examplecorp.com,41,Female,Single,Research & Development,1,Bachelor,3585.0,8,2,,No,4.0,173,3,Edwardsbury,July 10 2018,BDG-9143-XunY,912227,No
5975,Scott Hernandez,scott.hernandez@examplecorp.com,42,Female,Single,Research & Development,5,Bachelor,,5,4,9.5,No,5.0,166,3,Villanuevamouth,2021-07-05,BDG-2372-Numq,423767,No
1189,Kelly Johnson,kelly.johnson@examplecorp.com,38,Male,,Engineering,1,Bachelor,2613.0,0,0,6.6,No,2.0,199,4,Littleview,2026-07-02,BDG-5370-xEZw,263199,No
851,Shannon Miller,shannon.miller@examplecorp.com,41,Male,Married,Human Resources,1,Bachelor,3178.0,6,4,3.6,No,1.0,149,3,South Stephanie,18 Jul 2020,BDG-9898-ZvYX,682179,No
9692,Kimberly Walker,kimberly.walker@examplecorp.com,29,Male,Single,Engineering,1,Bachelor,3260.0,6,4,16.6,No,2.0,157,2,East Guy,2020-07-09,BDG-8132-HgvC,839129,No
9314,Kari Conner,kari.conner@examplecorp.com,48,Male,Single,Research & Development,2,Bachelor,5023.0,0,0,12.8,No,5.0,130,3,South Amyport,2026-07-12,BDG-1347-LYxP,890414,No
8564,Stephen Nguyen,stephen.nguyen@examplecorp.com,46,Female,Married,Marketing,1,Bachelor,2997.0,2,2,17.0,No,3.0,183,3,Hickmanland,07/21/2024,BDG-4001-shIX,901076,No
3059,Ryan Myers,ryan.myers@examplecorp.com,36,Female,Married,Engineering,1,High School,3083.0,8,3,,No,3.0,112,4,Nicoleview,2018-07-01,BDG-2431-Jfca,714023,No
6313,Alexandra Marshall,alexandra.marshall@examplecorp.com,51,Male,Single,Research & Development,5,Master,17432.0,14,1,1.2,Yes,2.0,260,4,Fuentesberg,15-07-2012,BDG-7831-Pehu,783600,No
1218,Samantha Zavala MD,samantha.md@examplecorp.com,55,Male,Single,  Sales  ,2,Master,5502.0,25,2,8.5,No,1.0,213,3,New Cathy,2001-07-18,BDG-1342-Zlou,610723,No
8094,Robert Jenkins,robert.jenkins@examplecorp.com,43,Female,Single,Research & Development,5,High School,19472.0,0,0,5.8,Yes,4.0,193,2,North Kathleen,2026-07-12,BDG-5456-SNyU,952467,Yes
5121,Frank Francis,frank.francis@examplecorp.com,41,Female,Divorced,Sales,3,Master,7871.0,8,6,5.5,No,3.0,171,3,Owenside,2018-07-14,BDG-2475-VDqb,808834,No
7856,Jason Waters,jason.waters@examplecorp.com,42,Female,Divorced,Sales,3,High School,7164.0,19,11,3.8,No,3.0,166,4,Lewisstad,July 13 2007,BDG-3666-unYI,220718,No
2710,Laura Hill,laura.hill@examplecorp.com,46,Male,Divorced,Research & Development,3,Bachelor,7257.0,3,3,16.9,No,2.0,151,3,South Mirandaland,23-07-2023,BDG-9778-VZeM,662693,No
252,Olivia Harris,olivia.harris@examplecorp.com,36,Female,Married,human resources,4,Bachelor,,11,11,13.0,No,1.0,164,3,Port Jessicafurt,2015-07-14,BDG-0417-zlZJ,924300,No
8577,Melissa Smith,melissa.smith@examplecorp.com,41,Male,Married,Marketing,1,Bachelor,3178.0,6,5,1.5,No,1.0,131,2,Port Micheleville,2020-06-26,BDG-0220-NUyw,876747,No
1598,Kelli Mccoy,kelli.mccoy@examplecorp.com,28,Female,Single,Marketing,1,Master,2542.0,0,0,1.0,No,4.0,206,4,Allenshire,2026-07-09,BDG-1563-Koxh,378043,No
3937,Ashley Norman,ashley.norman@examplecorp.com,57,Male,,Sales,2,Master,6156.0,16,13,24.5,No,1.0,167,4,Oliviaberg,2010-07-25,BDG-6194-ZVoq,980632,No
4906,Amy Roberts,amy.roberts@examplecorp.com,37,Female,Married,Marketing,2,Bachelor,3868.0,8,2,16.6,No,4.0,135,4,Crystalview,07/01/2018,BDG-7715-yvhd,582187,No
2886,Sara Thomas,sara.thomas@examplecorp.com,43,Female,Married,Engineering,1,High School,3199.0,0,0,2.7,Yes,5.0,154,2,Elizabethhaven,2026-07-23,BDG-1705-AKVs,411186,No
4939,Claire Hoffman,claire.hoffman@examplecorp.com,40,Male,Single,Research & Development,3,Bachelor,,0,0,8.2,No,4.0,172,2,Parkerberg,2026-06-27,BDG-7262-wWAk,200267,No
2168,Jordan Nelson,jordan.nelson@examplecorp.com,34,Male,Divorced,Engineering,2,Master,5859.0,11,3,4.3,No,7.0,148,3,Paulmouth,2015-07-21,BDG-6858-BRrZ,165359,No
8676,Maria Simmons,maria.simmons@examplecorp.com,50,Male,Married,Engineering,3,Bachelor,8138.0,22,22,15.0,Yes,4.0,219,3,Yorkport,2004-07-01,BDG-1216-LLXd,766435,Yes
1531,Justin Freeman,justin.freeman@examplecorp.com,48,Male,N/A,Engineering,2,Bachelor,6101.0,16,3,9.1,No,1.0,184,2,Garnerhaven,2010-07-25,BDG-7502-GJRD,552861,No
5304,Cassandra Mitchell,cassandra.mitchell@examplecorp.com,47,Female,,Sales,2,High School,4393.0,13,12,11.6,No,2.0,133,4,Hodgesburgh,2013-07-21,BDG-1846-OFdF,964664,No
4623,Amber Zhang,amber.zhang@examplecorp.com,33,Male,Single,Engineering,3,PhD,7591.0,0,0,1.0,Yes,1.0,195,3,Charleshaven,2026-07-11,BDG-5781-XVZb,829314,No
81,Kelly Donovan,kelly.donovan@examplecorp.com,38,Male,Divorced,Marketing,3,High School,9241.0,1,1,4.2,Yes,7.0,190,4,East Carolbury,26-06-2025,BDG-6497-WFbE,347758,No
3317,Donald Cruz,donald.cruz@examplecorp.com,23,Male,Single,Human Resources,3,Master,8064.0,1,0,22.7,No,3.0,150,4,West Karen,2025-06-30,BDG-3147-zHTr,359527,No
8565,Eric Hull,eric.hull@examplecorp.com,54,Male,Married,Engineering,2,PhD,5078.0,17,6,4.2,Yes,4.0,258,4,West Jeremy,2009-07-13,BDG-5871-uCaO,138037,No
7031,Kelly Johnston,kelly.johnston@examplecorp.com,39,Female,Single,Sales,1,Bachelor,3504.0,2,1,39.7,No,3.0,156,3,Alexfurt,2024-07-18,BDG-0252-btwD,353668,No
5943,Rebecca Lowery,rebecca.lowery@examplecorp.com,49,Female,Married,Sales,1,Bachelor,3822.0,6,0,1.4,No,2.0,162,2,East Kerryberg,27-06-2020,BDG-5020-MbRx,946659,No
3699,Steven Clark,steven.clark@examplecorp.com,39,Female,Single,Human Resources,1,Master,3523.0,6,6,19.6,Yes,2.0,173,3,Richardborough,15 Jul 2020,BDG-6563-oSxm,264938,No
1733,Angela May MD,angela.md@examplecorp.com,42,Male,Single,Research & Development,3,Bachelor,,3,2,3.0,Yes,4.0,180,3,New Samantha,2023-06-26,BDG-3416-atXy,580077,Yes
451,Brittany Kim,brittany.kim@examplecorp.com,39,Female,Married,Human Resources,1,,3110.0,12,4,17.7,Yes,7.0,204,3,Justinburgh,2014-07-13,BDG-9703-qudR,610148,Yes
